============================================================
data:
  name: weather
  root_path: data/weather
  data_path: weather.csv
  data_kind: custom
  features: M
  target: OT
  freq: t
  n_vars: 21
model:
  name: metatsf_mlp
  type: mlp
  d_model: 128
  n_layers: 2
  dropout: 0.1
  channel_mlp_mult: 2
  revin: true
  affine: true
  mixer:
    type: mlp
    hidden_mult: 2
    dropout: 0.1
train:
  name: default
  seq_len: 96
  label_len: 48
  pred_len: 192
  batch_size: 32
  num_workers: 4
  train_epochs: 30
  patience: 8
  learning_rate: 0.001
  loss: mse
  lradj: type3
  weight_decay: 0.0
  gradient_clip: 1.0
  use_amp: true
  gpu_resident_data: false
  matmul_precision: highest
  log_interval: 50
  val_interval: 1
  checkpoint_dir: checkpoints
  use_wandb: false
  wandb_project: vglg-tsf
seed: 2021
device: cuda
project: vglg-tsf
run_name: null
tag: metatsf_tuned

============================================================
Loaded data | train=36600 val=5079 test=10348
Built model: metatsf_mlp | params=172,888
  epoch 9 batch 1000/1143 loss=0.399518
  epoch 9 batch 1050/1143 loss=0.397688
  epoch 9 batch 1100/1143 loss=0.399773
Epoch 9 | train_loss=0.398743 val_mse=0.490049 val_mae=0.336414 (16.0s)
  EarlyStopping: 7/8
  epoch 10 batch 50/1143 loss=0.410799
  epoch 10 batch 100/1143 loss=0.440526
  epoch 10 batch 150/1143 loss=0.417651
  epoch 10 batch 200/1143 loss=0.403265
  epoch 10 batch 250/1143 loss=0.400955
  epoch 10 batch 300/1143 loss=0.395515
  epoch 10 batch 350/1143 loss=0.393092
  epoch 10 batch 400/1143 loss=0.387323
  epoch 10 batch 450/1143 loss=0.384447
  epoch 10 batch 500/1143 loss=0.381563
  epoch 10 batch 550/1143 loss=0.379356
  epoch 10 batch 600/1143 loss=0.385134
  epoch 10 batch 650/1143 loss=0.387061
  epoch 10 batch 700/1143 loss=0.388788
  epoch 10 batch 750/1143 loss=0.389952
  epoch 10 batch 800/1143 loss=0.388505
  epoch 10 batch 850/1143 loss=0.391325
  epoch 10 batch 900/1143 loss=0.390088
  epoch 10 batch 950/1143 loss=0.391373
  epoch 10 batch 1000/1143 loss=0.392275
  epoch 10 batch 1050/1143 loss=0.391348
  epoch 10 batch 1100/1143 loss=0.391041
Epoch 10 | train_loss=0.393190 val_mse=0.501342 val_mae=0.340233 (16.4s)
  EarlyStopping: 8/8
Early stopping at epoch 10.

Test | mse=0.208801 mae=0.252526 rmse=0.456947
