============================================================
data:
  name: ettm2
  root_path: data/ETT-small
  data_path: ETTm2.csv
  data_kind: ETTm
  features: M
  target: OT
  freq: t
  n_vars: 7
model:
  name: metatsf_attn
  type: transformer
  d_model: 128
  n_layers: 2
  dropout: 0.1
  channel_mlp_mult: 2
  revin: true
  affine: true
  mixer:
    type: attn
    n_heads: 4
    dropout: 0.1
train:
  name: default
  seq_len: 96
  label_len: 48
  pred_len: 336
  batch_size: 32
  num_workers: 4
  train_epochs: 30
  patience: 8
  learning_rate: 0.001
  loss: mse
  lradj: type3
  weight_decay: 0.0
  gradient_clip: 1.0
  use_amp: true
  gpu_resident_data: false
  matmul_precision: highest
  log_interval: 50
  val_interval: 1
  checkpoint_dir: checkpoints
  use_wandb: false
  wandb_project: vglg-tsf
seed: 2021
device: cuda
project: vglg-tsf
run_name: null
tag: metatsf_tuned

============================================================
Loaded data | train=34129 val=11185 test=11185
Built model: metatsf_attn | params=188,360
  epoch 8 batch 450/1066 loss=0.304555
  epoch 8 batch 500/1066 loss=0.304694
  epoch 8 batch 550/1066 loss=0.306405
  epoch 8 batch 600/1066 loss=0.304963
  epoch 8 batch 650/1066 loss=0.303153
  epoch 8 batch 700/1066 loss=0.303125
  epoch 8 batch 750/1066 loss=0.302863
  epoch 8 batch 800/1066 loss=0.301876
  epoch 8 batch 850/1066 loss=0.301025
  epoch 8 batch 900/1066 loss=0.299659
  epoch 8 batch 950/1066 loss=0.298598
  epoch 8 batch 1000/1066 loss=0.298916
  epoch 8 batch 1050/1066 loss=0.299144
Epoch 8 | train_loss=0.299603 val_mse=0.237360 val_mae=0.335587 (24.6s)
  EarlyStopping: 7/8
  epoch 9 batch 50/1066 loss=0.277220
  epoch 9 batch 100/1066 loss=0.285002
  epoch 9 batch 150/1066 loss=0.281899
  epoch 9 batch 200/1066 loss=0.285607
  epoch 9 batch 250/1066 loss=0.287989
  epoch 9 batch 300/1066 loss=0.289650
  epoch 9 batch 350/1066 loss=0.292622
  epoch 9 batch 400/1066 loss=0.292184
  epoch 9 batch 450/1066 loss=0.292681
  epoch 9 batch 500/1066 loss=0.293419
  epoch 9 batch 550/1066 loss=0.291370
  epoch 9 batch 600/1066 loss=0.292045
  epoch 9 batch 650/1066 loss=0.291419
  epoch 9 batch 700/1066 loss=0.290564
