============================================================
data:
  name: traffic
  root_path: data/traffic
  data_path: traffic.csv
  data_kind: custom
  features: M
  target: OT
  freq: h
  n_vars: 862
model:
  name: lstm
  type: rnn
  d_model: 128
  e_layers: 2
  dropout: 0.1
  revin: true
  affine: true
train:
  name: default
  seq_len: 96
  label_len: 48
  pred_len: 720
  batch_size: 8
  num_workers: 4
  train_epochs: 10
  patience: 3
  learning_rate: 0.001
  loss: mse
  lradj: type1
  weight_decay: 0.0
  gradient_clip: 1.0
  use_amp: true
  gpu_resident_data: false
  matmul_precision: highest
  log_interval: 50
  val_interval: 1
  checkpoint_dir: checkpoints
  use_wandb: false
  wandb_project: vglg-tsf
seed: 2021
device: cuda
project: vglg-tsf
run_name: null
tag: supp_method_b

============================================================
Loaded data | train=11465 val=1037 test=2789
Built model: lstm | params=293,772
  epoch 7 batch 50/1433 loss=0.318758
  epoch 7 batch 100/1433 loss=0.321329
  epoch 7 batch 150/1433 loss=0.319365
  epoch 7 batch 200/1433 loss=0.318799
  epoch 7 batch 250/1433 loss=0.318081
  epoch 7 batch 300/1433 loss=0.318036
  epoch 7 batch 350/1433 loss=0.318355
  epoch 7 batch 400/1433 loss=0.318716
  epoch 7 batch 450/1433 loss=0.318702
  epoch 7 batch 500/1433 loss=0.318857
  epoch 7 batch 550/1433 loss=0.318992
  epoch 7 batch 600/1433 loss=0.318922
  epoch 7 batch 650/1433 loss=0.318954
  epoch 7 batch 700/1433 loss=0.318891
  epoch 7 batch 750/1433 loss=0.319163
  epoch 7 batch 800/1433 loss=0.319346
  epoch 7 batch 850/1433 loss=0.319479
  epoch 7 batch 900/1433 loss=0.319540
  epoch 7 batch 950/1433 loss=0.319350
  epoch 7 batch 1000/1433 loss=0.319113
  epoch 7 batch 1050/1433 loss=0.319153
  epoch 7 batch 1100/1433 loss=0.319123
  epoch 7 batch 1150/1433 loss=0.319185
  epoch 7 batch 1200/1433 loss=0.319138
  epoch 7 batch 1250/1433 loss=0.319168
  epoch 7 batch 1300/1433 loss=0.319097
  epoch 7 batch 1350/1433 loss=0.318992
  epoch 7 batch 1400/1433 loss=0.318797
Epoch 7 | train_loss=0.318758 val_mse=0.503306 val_mae=0.327727 (331.9s)
  EarlyStopping: 1/3
  epoch 8 batch 50/1433 loss=0.317833
  epoch 8 batch 100/1433 loss=0.317987
  epoch 8 batch 150/1433 loss=0.318482
  epoch 8 batch 200/1433 loss=0.318417
  epoch 8 batch 250/1433 loss=0.319155
  epoch 8 batch 300/1433 loss=0.319193
  epoch 8 batch 350/1433 loss=0.318699
  epoch 8 batch 400/1433 loss=0.318650
  epoch 8 batch 450/1433 loss=0.318520
  epoch 8 batch 500/1433 loss=0.318239
  epoch 8 batch 550/1433 loss=0.318180
  epoch 8 batch 600/1433 loss=0.318080
  epoch 8 batch 650/1433 loss=0.318049
  epoch 8 batch 700/1433 loss=0.318191
  epoch 8 batch 750/1433 loss=0.318326
  epoch 8 batch 800/1433 loss=0.318185
  epoch 8 batch 850/1433 loss=0.318233
  epoch 8 batch 900/1433 loss=0.318227
  epoch 8 batch 950/1433 loss=0.317961
  epoch 8 batch 1000/1433 loss=0.317881
  epoch 8 batch 1050/1433 loss=0.317870
  epoch 8 batch 1100/1433 loss=0.318020
  epoch 8 batch 1150/1433 loss=0.318037
  epoch 8 batch 1200/1433 loss=0.318061
  epoch 8 batch 1250/1433 loss=0.318180
  epoch 8 batch 1300/1433 loss=0.318109
  epoch 8 batch 1350/1433 loss=0.317993
  epoch 8 batch 1400/1433 loss=0.317997
Epoch 8 | train_loss=0.317987 val_mse=0.501538 val_mae=0.324432 (324.5s)
  Validation improved to 0.501538; saved checkpoint.
  epoch 9 batch 50/1433 loss=0.318555
  epoch 9 batch 100/1433 loss=0.317820
  epoch 9 batch 150/1433 loss=0.316211
  epoch 9 batch 200/1433 loss=0.315824
  epoch 9 batch 250/1433 loss=0.316235
  epoch 9 batch 300/1433 loss=0.316385
  epoch 9 batch 350/1433 loss=0.316051
  epoch 9 batch 400/1433 loss=0.315982
  epoch 9 batch 450/1433 loss=0.316310
  epoch 9 batch 500/1433 loss=0.316511
  epoch 9 batch 550/1433 loss=0.316573
  epoch 9 batch 600/1433 loss=0.316565
  epoch 9 batch 650/1433 loss=0.316732
  epoch 9 batch 700/1433 loss=0.316751
