============================================================
data:
  name: weather
  root_path: data/weather
  data_path: weather.csv
  data_kind: custom
  features: M
  target: OT
  freq: t
  n_vars: 21
model:
  name: gru
  type: rnn
  d_model: 128
  e_layers: 2
  dropout: 0.1
  revin: true
  affine: true
train:
  name: default
  seq_len: 96
  label_len: 48
  pred_len: 336
  batch_size: 32
  num_workers: 4
  train_epochs: 10
  patience: 3
  learning_rate: 0.001
  loss: mse
  lradj: type1
  weight_decay: 0.0
  gradient_clip: 1.0
  use_amp: true
  gpu_resident_data: false
  matmul_precision: highest
  log_interval: 50
  val_interval: 1
  checkpoint_dir: checkpoints
  use_wandb: false
  wandb_project: vglg-tsf
seed: 2021
device: cuda
project: vglg-tsf
run_name: null
tag: supp_method_b

============================================================
Loaded data | train=36456 val=4935 test=10204
Built model: gru | params=192,762
  epoch 8 batch 300/1139 loss=0.524664
  epoch 8 batch 350/1139 loss=0.521925
  epoch 8 batch 400/1139 loss=0.524823
  epoch 8 batch 450/1139 loss=0.525105
  epoch 8 batch 500/1139 loss=0.526123
  epoch 8 batch 550/1139 loss=0.524577
  epoch 8 batch 600/1139 loss=0.525229
  epoch 8 batch 650/1139 loss=0.523408
  epoch 8 batch 700/1139 loss=0.524155
  epoch 8 batch 750/1139 loss=0.527005
  epoch 8 batch 800/1139 loss=0.529333
  epoch 8 batch 850/1139 loss=0.528901
  epoch 8 batch 900/1139 loss=0.528750
  epoch 8 batch 950/1139 loss=0.530002
  epoch 8 batch 1000/1139 loss=0.530607
  epoch 8 batch 1050/1139 loss=0.529276
  epoch 8 batch 1100/1139 loss=0.530062
Epoch 8 | train_loss=0.531884 val_mse=0.544425 val_mae=0.374509 (10.0s)
  Validation improved to 0.544425; saved checkpoint.
  epoch 9 batch 50/1139 loss=0.499513
  epoch 9 batch 100/1139 loss=0.519896
  epoch 9 batch 150/1139 loss=0.529058
  epoch 9 batch 200/1139 loss=0.537575
  epoch 9 batch 250/1139 loss=0.534884
  epoch 9 batch 300/1139 loss=0.531817
  epoch 9 batch 350/1139 loss=0.533397
  epoch 9 batch 400/1139 loss=0.527087
  epoch 9 batch 450/1139 loss=0.530814
  epoch 9 batch 500/1139 loss=0.528365
  epoch 9 batch 550/1139 loss=0.528592
  epoch 9 batch 600/1139 loss=0.534828
  epoch 9 batch 650/1139 loss=0.537590
  epoch 9 batch 700/1139 loss=0.536763
  epoch 9 batch 750/1139 loss=0.535323
  epoch 9 batch 800/1139 loss=0.535030
  epoch 9 batch 850/1139 loss=0.534439
  epoch 9 batch 900/1139 loss=0.532638
  epoch 9 batch 950/1139 loss=0.532050
  epoch 9 batch 1000/1139 loss=0.531752
  epoch 9 batch 1050/1139 loss=0.530792
  epoch 9 batch 1100/1139 loss=0.531265
Epoch 9 | train_loss=0.531447 val_mse=0.544626 val_mae=0.374428 (10.0s)
  EarlyStopping: 1/3
  epoch 10 batch 50/1139 loss=0.536218
  epoch 10 batch 100/1139 loss=0.546889
  epoch 10 batch 150/1139 loss=0.538815
  epoch 10 batch 200/1139 loss=0.543874
  epoch 10 batch 250/1139 loss=0.535676
  epoch 10 batch 300/1139 loss=0.526743
  epoch 10 batch 350/1139 loss=0.529557
  epoch 10 batch 400/1139 loss=0.528852
  epoch 10 batch 450/1139 loss=0.528323
  epoch 10 batch 500/1139 loss=0.527027
  epoch 10 batch 550/1139 loss=0.529010
  epoch 10 batch 600/1139 loss=0.529858
  epoch 10 batch 650/1139 loss=0.528815
  epoch 10 batch 700/1139 loss=0.531108
  epoch 10 batch 750/1139 loss=0.531096
  epoch 10 batch 800/1139 loss=0.530657
  epoch 10 batch 850/1139 loss=0.529416
  epoch 10 batch 900/1139 loss=0.529508
  epoch 10 batch 950/1139 loss=0.530693
  epoch 10 batch 1000/1139 loss=0.531346
  epoch 10 batch 1050/1139 loss=0.532886
  epoch 10 batch 1100/1139 loss=0.531667
Epoch 10 | train_loss=0.531270 val_mse=0.544645 val_mae=0.374620 (8.5s)
  EarlyStopping: 2/3

Test | mse=0.268432 mae=0.294572 rmse=0.518105
