============================================================
data:
  name: weather
  root_path: data/weather
  data_path: weather.csv
  data_kind: custom
  features: M
  target: OT
  freq: t
  n_vars: 21
model:
  name: patchtst
  type: transformer
  d_model: 128
  d_ff: 256
  e_layers: 3
  n_heads: 16
  patch_len: 16
  stride: 8
  dropout: 0.2
  fc_dropout: 0.2
  head_dropout: 0.0
  activation: gelu
  revin: 1
  affine: 0
  subtract_last: 0
  decomposition: 0
  kernel_size: 25
  individual: 0
train:
  name: default
  seq_len: 96
  label_len: 48
  pred_len: 720
  batch_size: 32
  num_workers: 4
  train_epochs: 30
  patience: 8
  learning_rate: 0.0001
  loss: mse
  lradj: type3
  weight_decay: 0.0
  gradient_clip: 1.0
  use_amp: true
  gpu_resident_data: false
  matmul_precision: highest
  log_interval: 50
  val_interval: 1
  checkpoint_dir: checkpoints
  use_wandb: false
  wandb_project: vglg-tsf
seed: 2021
device: cuda
project: vglg-tsf
run_name: null
tag: supp_method_b

============================================================
Loaded data | train=36072 val=4551 test=9820
Built model: patchtst | params=1,506,384
Epoch 15 | train_loss=0.650691 val_mse=0.717720 val_mae=0.468184 (222.7s)
  EarlyStopping: 3/8
  epoch 16 batch 50/1127 loss=0.660407
  epoch 16 batch 100/1127 loss=0.654438
  epoch 16 batch 150/1127 loss=0.659106
  epoch 16 batch 200/1127 loss=0.658795
  epoch 16 batch 250/1127 loss=0.660194
  epoch 16 batch 300/1127 loss=0.655000
  epoch 16 batch 350/1127 loss=0.655295
  epoch 16 batch 400/1127 loss=0.657766
  epoch 16 batch 450/1127 loss=0.656727
  epoch 16 batch 500/1127 loss=0.657560
  epoch 16 batch 550/1127 loss=0.655865
  epoch 16 batch 600/1127 loss=0.653456
  epoch 16 batch 650/1127 loss=0.652430
  epoch 16 batch 700/1127 loss=0.653902
  epoch 16 batch 750/1127 loss=0.653959
  epoch 16 batch 800/1127 loss=0.654569
  epoch 16 batch 850/1127 loss=0.654717
  epoch 16 batch 900/1127 loss=0.654343
  epoch 16 batch 950/1127 loss=0.652133
  epoch 16 batch 1000/1127 loss=0.651329
  epoch 16 batch 1050/1127 loss=0.650780
  epoch 16 batch 1100/1127 loss=0.650055
Epoch 16 | train_loss=0.649350 val_mse=0.713622 val_mae=0.467441 (227.7s)
  Validation improved to 0.713622; saved checkpoint.
  epoch 17 batch 50/1127 loss=0.647744
  epoch 17 batch 100/1127 loss=0.647886
  epoch 17 batch 150/1127 loss=0.638563
  epoch 17 batch 200/1127 loss=0.636142
  epoch 17 batch 250/1127 loss=0.641797
  epoch 17 batch 300/1127 loss=0.641043
  epoch 17 batch 350/1127 loss=0.640442
  epoch 17 batch 400/1127 loss=0.643240
  epoch 17 batch 450/1127 loss=0.644264
  epoch 17 batch 500/1127 loss=0.646636
  epoch 17 batch 550/1127 loss=0.648335
  epoch 17 batch 600/1127 loss=0.647710
  epoch 17 batch 650/1127 loss=0.647343
  epoch 17 batch 700/1127 loss=0.647738
  epoch 17 batch 750/1127 loss=0.646865
  epoch 17 batch 800/1127 loss=0.646645
  epoch 17 batch 850/1127 loss=0.645995
  epoch 17 batch 900/1127 loss=0.648512
  epoch 17 batch 950/1127 loss=0.647511
  epoch 17 batch 1000/1127 loss=0.647615
  epoch 17 batch 1050/1127 loss=0.647930
  epoch 17 batch 1100/1127 loss=0.647719
Epoch 17 | train_loss=0.648053 val_mse=0.714027 val_mae=0.466767 (223.6s)
  EarlyStopping: 1/8
  epoch 18 batch 50/1127 loss=0.625860
  epoch 18 batch 100/1127 loss=0.637391
  epoch 18 batch 150/1127 loss=0.647173
  epoch 18 batch 200/1127 loss=0.651461
  epoch 18 batch 250/1127 loss=0.654683
  epoch 18 batch 300/1127 loss=0.651676
  epoch 18 batch 350/1127 loss=0.646497
  epoch 18 batch 400/1127 loss=0.647687
  epoch 18 batch 450/1127 loss=0.646997
  epoch 18 batch 500/1127 loss=0.647581
  epoch 18 batch 550/1127 loss=0.647828
  epoch 18 batch 600/1127 loss=0.649126
  epoch 18 batch 650/1127 loss=0.650371
  epoch 18 batch 700/1127 loss=0.651018
  epoch 18 batch 750/1127 loss=0.650214
  epoch 18 batch 800/1127 loss=0.649321
  epoch 18 batch 850/1127 loss=0.648270
  epoch 18 batch 900/1127 loss=0.648501
  epoch 18 batch 950/1127 loss=0.648689
  epoch 18 batch 1000/1127 loss=0.648803
  epoch 18 batch 1050/1127 loss=0.648331
  epoch 18 batch 1100/1127 loss=0.647629
Epoch 18 | train_loss=0.647465 val_mse=0.716112 val_mae=0.466773 (222.6s)
  EarlyStopping: 2/8
  epoch 19 batch 50/1127 loss=0.646225
  epoch 19 batch 100/1127 loss=0.655780
  epoch 19 batch 150/1127 loss=0.654172
  epoch 19 batch 200/1127 loss=0.645173
  epoch 19 batch 250/1127 loss=0.644743
  epoch 19 batch 300/1127 loss=0.648527
  epoch 19 batch 350/1127 loss=0.644908
  epoch 19 batch 400/1127 loss=0.646149
  epoch 19 batch 450/1127 loss=0.646366
  epoch 19 batch 500/1127 loss=0.645186
  epoch 19 batch 550/1127 loss=0.644245
  epoch 19 batch 600/1127 loss=0.642144
  epoch 19 batch 650/1127 loss=0.642272
  epoch 19 batch 700/1127 loss=0.643880
  epoch 19 batch 750/1127 loss=0.644061
  epoch 19 batch 800/1127 loss=0.643229
  epoch 19 batch 850/1127 loss=0.641651
  epoch 19 batch 900/1127 loss=0.641660
  epoch 19 batch 950/1127 loss=0.643523
  epoch 19 batch 1000/1127 loss=0.643183
  epoch 19 batch 1050/1127 loss=0.642829
  epoch 19 batch 1100/1127 loss=0.645772
Epoch 19 | train_loss=0.646385 val_mse=0.713488 val_mae=0.465865 (224.7s)
  Validation improved to 0.713488; saved checkpoint.
  epoch 20 batch 50/1127 loss=0.643880
  epoch 20 batch 100/1127 loss=0.634292
  epoch 20 batch 150/1127 loss=0.638340
  epoch 20 batch 200/1127 loss=0.638406
  epoch 20 batch 250/1127 loss=0.639642
  epoch 20 batch 300/1127 loss=0.639136
  epoch 20 batch 350/1127 loss=0.639699
  epoch 20 batch 400/1127 loss=0.642024
  epoch 20 batch 450/1127 loss=0.642160
  epoch 20 batch 500/1127 loss=0.642046
  epoch 20 batch 550/1127 loss=0.641599
  epoch 20 batch 600/1127 loss=0.642990
  epoch 20 batch 650/1127 loss=0.644384
  epoch 20 batch 700/1127 loss=0.644616
  epoch 20 batch 750/1127 loss=0.644140
  epoch 20 batch 800/1127 loss=0.644414
  epoch 20 batch 850/1127 loss=0.645440
  epoch 20 batch 900/1127 loss=0.646843
  epoch 20 batch 950/1127 loss=0.645910
  epoch 20 batch 1000/1127 loss=0.644901
  epoch 20 batch 1050/1127 loss=0.646557
  epoch 20 batch 1100/1127 loss=0.646049
Epoch 20 | train_loss=0.645734 val_mse=0.715988 val_mae=0.467044 (228.4s)
  EarlyStopping: 1/8
  epoch 21 batch 50/1127 loss=0.636848
  epoch 21 batch 100/1127 loss=0.636721
  epoch 21 batch 150/1127 loss=0.645622
  epoch 21 batch 200/1127 loss=0.647675
  epoch 21 batch 250/1127 loss=0.644770
  epoch 21 batch 300/1127 loss=0.647411
  epoch 21 batch 350/1127 loss=0.651584
  epoch 21 batch 400/1127 loss=0.646878
  epoch 21 batch 450/1127 loss=0.645728
  epoch 21 batch 500/1127 loss=0.645320
  epoch 21 batch 550/1127 loss=0.645533
  epoch 21 batch 600/1127 loss=0.642617
  epoch 21 batch 650/1127 loss=0.642186
  epoch 21 batch 700/1127 loss=0.642387
  epoch 21 batch 750/1127 loss=0.643079
  epoch 21 batch 800/1127 loss=0.642478
  epoch 21 batch 850/1127 loss=0.643231
  epoch 21 batch 900/1127 loss=0.643341
  epoch 21 batch 950/1127 loss=0.642891
  epoch 21 batch 1000/1127 loss=0.643333
  epoch 21 batch 1050/1127 loss=0.643630
  epoch 21 batch 1100/1127 loss=0.645154
Epoch 21 | train_loss=0.645250 val_mse=0.715912 val_mae=0.467280 (221.6s)
  EarlyStopping: 2/8
  epoch 22 batch 50/1127 loss=0.652138
  epoch 22 batch 100/1127 loss=0.658656
  epoch 22 batch 150/1127 loss=0.647441
  epoch 22 batch 200/1127 loss=0.656446
  epoch 22 batch 250/1127 loss=0.656981
  epoch 22 batch 300/1127 loss=0.655291
  epoch 22 batch 350/1127 loss=0.652187
  epoch 22 batch 400/1127 loss=0.648612
  epoch 22 batch 450/1127 loss=0.644963
  epoch 22 batch 500/1127 loss=0.642850
  epoch 22 batch 550/1127 loss=0.644728
  epoch 22 batch 600/1127 loss=0.647080
  epoch 22 batch 650/1127 loss=0.647530
  epoch 22 batch 700/1127 loss=0.646186
  epoch 22 batch 750/1127 loss=0.644791
  epoch 22 batch 800/1127 loss=0.644690
  epoch 22 batch 850/1127 loss=0.645282
  epoch 22 batch 900/1127 loss=0.644397
