============================================================
data:
  name: weather
  root_path: data/weather
  data_path: weather.csv
  data_kind: custom
  features: M
  target: OT
  freq: t
  n_vars: 21
model:
  name: segrnn
  type: rnn
  d_model: 512
  seg_len: 48
  dropout: 0.5
train:
  name: default
  seq_len: 96
  label_len: 48
  pred_len: 96
  batch_size: 32
  num_workers: 4
  train_epochs: 30
  patience: 8
  learning_rate: 0.001
  loss: mse
  lradj: type3
  weight_decay: 0.0
  gradient_clip: 1.0
  use_amp: true
  gpu_resident_data: false
  matmul_precision: highest
  log_interval: 50
  val_interval: 1
  checkpoint_dir: checkpoints
  use_wandb: false
  wandb_project: vglg-tsf
seed: 2021
device: cuda
project: vglg-tsf
run_name: null
tag: supp_method_b

============================================================
Loaded data | train=36696 val=5175 test=10444
Built model: segrnn | params=1,631,536
  epoch 8 batch 250/1146 loss=0.413957
  epoch 8 batch 300/1146 loss=0.412517
  epoch 8 batch 350/1146 loss=0.410612
  epoch 8 batch 400/1146 loss=0.417119
  epoch 8 batch 450/1146 loss=0.413398
  epoch 8 batch 500/1146 loss=0.410236
  epoch 8 batch 550/1146 loss=0.491635
  epoch 8 batch 600/1146 loss=0.482222
  epoch 8 batch 650/1146 loss=0.476776
  epoch 8 batch 700/1146 loss=0.471247
  epoch 8 batch 750/1146 loss=0.466759
  epoch 8 batch 800/1146 loss=0.460084
  epoch 8 batch 850/1146 loss=0.456769
  epoch 8 batch 900/1146 loss=0.450666
  epoch 8 batch 950/1146 loss=0.446845
  epoch 8 batch 1000/1146 loss=0.442921
  epoch 8 batch 1050/1146 loss=0.441073
  epoch 8 batch 1100/1146 loss=0.441803
Epoch 8 | train_loss=0.439980 val_mse=0.420148 val_mae=0.281775 (13.1s)
  Validation improved to 0.420148; saved checkpoint.
  epoch 9 batch 50/1146 loss=0.337848
  epoch 9 batch 100/1146 loss=0.382276
  epoch 9 batch 150/1146 loss=0.378054
  epoch 9 batch 200/1146 loss=0.377713
  epoch 9 batch 250/1146 loss=0.419588
  epoch 9 batch 300/1146 loss=0.412240
  epoch 9 batch 350/1146 loss=0.409930
  epoch 9 batch 400/1146 loss=0.522623
  epoch 9 batch 450/1146 loss=0.505996
  epoch 9 batch 500/1146 loss=0.490155
  epoch 9 batch 550/1146 loss=0.483024
  epoch 9 batch 600/1146 loss=0.478670
  epoch 9 batch 650/1146 loss=0.467369
  epoch 9 batch 700/1146 loss=0.459411
  epoch 9 batch 750/1146 loss=0.449251
  epoch 9 batch 800/1146 loss=0.445737
  epoch 9 batch 850/1146 loss=0.443152
  epoch 9 batch 900/1146 loss=0.441528
  epoch 9 batch 950/1146 loss=0.440167
  epoch 9 batch 1000/1146 loss=0.439565
  epoch 9 batch 1050/1146 loss=0.438140
  epoch 9 batch 1100/1146 loss=0.437619
Epoch 9 | train_loss=0.436845 val_mse=0.427657 val_mae=0.284323 (13.1s)
  EarlyStopping: 1/8
  epoch 10 batch 50/1146 loss=0.362140
  epoch 10 batch 100/1146 loss=0.364689
  epoch 10 batch 150/1146 loss=0.659127
  epoch 10 batch 200/1146 loss=0.609887
  epoch 10 batch 250/1146 loss=0.573291
  epoch 10 batch 300/1146 loss=0.538431
  epoch 10 batch 350/1146 loss=0.509283
  epoch 10 batch 400/1146 loss=0.508193
  epoch 10 batch 450/1146 loss=0.505793
  epoch 10 batch 500/1146 loss=0.487774
  epoch 10 batch 550/1146 loss=0.477267
  epoch 10 batch 600/1146 loss=0.467589
  epoch 10 batch 650/1146 loss=0.462865
  epoch 10 batch 700/1146 loss=0.461417
  epoch 10 batch 750/1146 loss=0.454941
  epoch 10 batch 800/1146 loss=0.450579
  epoch 10 batch 850/1146 loss=0.443986
  epoch 10 batch 900/1146 loss=0.440933
  epoch 10 batch 950/1146 loss=0.439696
  epoch 10 batch 1000/1146 loss=0.435085
  epoch 10 batch 1050/1146 loss=0.435561
  epoch 10 batch 1100/1146 loss=0.435770
Epoch 10 | train_loss=0.432851 val_mse=0.429440 val_mae=0.284891 (12.8s)
  EarlyStopping: 2/8
  epoch 11 batch 50/1146 loss=0.320622
  epoch 11 batch 100/1146 loss=0.353597
  epoch 11 batch 150/1146 loss=0.346571
  epoch 11 batch 200/1146 loss=0.360800
  epoch 11 batch 250/1146 loss=0.363331
  epoch 11 batch 300/1146 loss=0.366475
  epoch 11 batch 350/1146 loss=0.383958
  epoch 11 batch 400/1146 loss=0.386000
  epoch 11 batch 450/1146 loss=0.398010
  epoch 11 batch 500/1146 loss=0.397219
  epoch 11 batch 550/1146 loss=0.398638
  epoch 11 batch 600/1146 loss=0.395264
  epoch 11 batch 650/1146 loss=0.397051
  epoch 11 batch 700/1146 loss=0.399471
  epoch 11 batch 750/1146 loss=0.394343
  epoch 11 batch 800/1146 loss=0.391327
  epoch 11 batch 850/1146 loss=0.387895
  epoch 11 batch 900/1146 loss=0.392595
  epoch 11 batch 950/1146 loss=0.391233
  epoch 11 batch 1000/1146 loss=0.435761
  epoch 11 batch 1050/1146 loss=0.431193
  epoch 11 batch 1100/1146 loss=0.430165
Epoch 11 | train_loss=0.427607 val_mse=0.420530 val_mae=0.288410 (12.7s)
  EarlyStopping: 3/8
  epoch 12 batch 50/1146 loss=0.404715
  epoch 12 batch 100/1146 loss=0.360492
  epoch 12 batch 150/1146 loss=0.353109
  epoch 12 batch 200/1146 loss=0.370914
  epoch 12 batch 250/1146 loss=0.362262
  epoch 12 batch 300/1146 loss=0.375987
  epoch 12 batch 350/1146 loss=0.380894
  epoch 12 batch 400/1146 loss=0.381805
  epoch 12 batch 450/1146 loss=0.379161
  epoch 12 batch 500/1146 loss=0.372493
  epoch 12 batch 550/1146 loss=0.380021
  epoch 12 batch 600/1146 loss=0.378939
  epoch 12 batch 650/1146 loss=0.383517
  epoch 12 batch 700/1146 loss=0.384476
  epoch 12 batch 750/1146 loss=0.378325
  epoch 12 batch 800/1146 loss=0.378918
  epoch 12 batch 850/1146 loss=0.377106
  epoch 12 batch 900/1146 loss=0.384690
  epoch 12 batch 950/1146 loss=0.383324
  epoch 12 batch 1000/1146 loss=0.429098
  epoch 12 batch 1050/1146 loss=0.429006
  epoch 12 batch 1100/1146 loss=0.427041
Epoch 12 | train_loss=0.425897 val_mse=0.420752 val_mae=0.283641 (13.3s)
  EarlyStopping: 4/8
  epoch 13 batch 50/1146 loss=0.366150
  epoch 13 batch 100/1146 loss=0.358317
  epoch 13 batch 150/1146 loss=0.371187
  epoch 13 batch 200/1146 loss=0.377482
  epoch 13 batch 250/1146 loss=0.380080
  epoch 13 batch 300/1146 loss=0.378053
  epoch 13 batch 350/1146 loss=0.372484
  epoch 13 batch 400/1146 loss=0.373506
  epoch 13 batch 450/1146 loss=0.394901
  epoch 13 batch 500/1146 loss=0.389207
  epoch 13 batch 550/1146 loss=0.390494
  epoch 13 batch 600/1146 loss=0.389126
  epoch 13 batch 650/1146 loss=0.389731
  epoch 13 batch 700/1146 loss=0.384871
  epoch 13 batch 750/1146 loss=0.380991
  epoch 13 batch 800/1146 loss=0.379947
  epoch 13 batch 850/1146 loss=0.379932
  epoch 13 batch 900/1146 loss=0.430119
  epoch 13 batch 950/1146 loss=0.426176
  epoch 13 batch 1000/1146 loss=0.425796
  epoch 13 batch 1050/1146 loss=0.424140
  epoch 13 batch 1100/1146 loss=0.420571
Epoch 13 | train_loss=0.419355 val_mse=0.421493 val_mae=0.284504 (13.0s)
  EarlyStopping: 5/8
  epoch 14 batch 50/1146 loss=0.371170
  epoch 14 batch 100/1146 loss=0.371527
  epoch 14 batch 150/1146 loss=0.451291
  epoch 14 batch 200/1146 loss=0.438346
  epoch 14 batch 250/1146 loss=0.590920
  epoch 14 batch 300/1146 loss=0.545481
  epoch 14 batch 350/1146 loss=0.524912
  epoch 14 batch 400/1146 loss=0.510372
  epoch 14 batch 450/1146 loss=0.489841
  epoch 14 batch 500/1146 loss=0.477121
  epoch 14 batch 550/1146 loss=0.470847
  epoch 14 batch 600/1146 loss=0.455763
  epoch 14 batch 650/1146 loss=0.445979
  epoch 14 batch 700/1146 loss=0.441790
  epoch 14 batch 750/1146 loss=0.436363
  epoch 14 batch 800/1146 loss=0.432806
  epoch 14 batch 850/1146 loss=0.429763
  epoch 14 batch 900/1146 loss=0.424630
  epoch 14 batch 950/1146 loss=0.422691
  epoch 14 batch 1000/1146 loss=0.422062
  epoch 14 batch 1050/1146 loss=0.417568
  epoch 14 batch 1100/1146 loss=0.415620
Epoch 14 | train_loss=0.413858 val_mse=0.418913 val_mae=0.285009 (12.7s)
  Validation improved to 0.418913; saved checkpoint.
  epoch 15 batch 50/1146 loss=0.373356
  epoch 15 batch 100/1146 loss=0.411716
  epoch 15 batch 150/1146 loss=0.399810
  epoch 15 batch 200/1146 loss=0.392023
  epoch 15 batch 250/1146 loss=0.389106
  epoch 15 batch 300/1146 loss=0.384284
  epoch 15 batch 350/1146 loss=0.391570
  epoch 15 batch 400/1146 loss=0.490022
  epoch 15 batch 450/1146 loss=0.474139
  epoch 15 batch 500/1146 loss=0.464106
  epoch 15 batch 550/1146 loss=0.456586
  epoch 15 batch 600/1146 loss=0.457296
  epoch 15 batch 650/1146 loss=0.447435
  epoch 15 batch 700/1146 loss=0.444183
  epoch 15 batch 750/1146 loss=0.441840
  epoch 15 batch 800/1146 loss=0.434605
  epoch 15 batch 850/1146 loss=0.429486
  epoch 15 batch 900/1146 loss=0.424421
  epoch 15 batch 950/1146 loss=0.420968
  epoch 15 batch 1000/1146 loss=0.417504
  epoch 15 batch 1050/1146 loss=0.413517
  epoch 15 batch 1100/1146 loss=0.410854
Epoch 15 | train_loss=0.409754 val_mse=0.417464 val_mae=0.283777 (12.9s)
  Validation improved to 0.417464; saved checkpoint.
  epoch 16 batch 50/1146 loss=0.381385
  epoch 16 batch 100/1146 loss=0.402765
  epoch 16 batch 150/1146 loss=0.383697
  epoch 16 batch 200/1146 loss=0.368327
  epoch 16 batch 250/1146 loss=0.369466
  epoch 16 batch 300/1146 loss=0.368037
