============================================================
data:
  name: ettm1
  root_path: data/ETT-small
  data_path: ETTm1.csv
  data_kind: ETTm
  features: M
  target: OT
  freq: t
  n_vars: 7
model:
  name: moderntcn
  type: cnn
  patch_size: 16
  patch_stride: 8
  ffn_ratio: 1
  num_blocks: 1
  large_size: 31
  small_size: 5
  d_model: 64
  backbone_dropout: 0.1
  head_dropout: 0.1
  revin: true
  affine: false
train:
  name: default
  seq_len: 96
  label_len: 48
  pred_len: 192
  batch_size: 32
  num_workers: 4
  train_epochs: 50
  patience: 10
  learning_rate: 0.001
  loss: mse
  lradj: type3
  weight_decay: 0.0
  gradient_clip: 1.0
  use_amp: true
  gpu_resident_data: false
  matmul_precision: highest
  log_interval: 50
  val_interval: 1
  checkpoint_dir: checkpoints
  use_wandb: false
  wandb_project: vglg-tsf
seed: 2021
device: cuda
project: vglg-tsf
run_name: null
tag: supp_method_b

============================================================
Loaded data | train=34273 val=11329 test=11329
Built model: moderntcn | params=287,040
  epoch 8 batch 550/1071 loss=0.199993
  epoch 8 batch 600/1071 loss=0.200112
  epoch 8 batch 650/1071 loss=0.200869
  epoch 8 batch 700/1071 loss=0.200722
  epoch 8 batch 750/1071 loss=0.200789
  epoch 8 batch 800/1071 loss=0.200838
  epoch 8 batch 850/1071 loss=0.200593
  epoch 8 batch 900/1071 loss=0.200610
  epoch 8 batch 950/1071 loss=0.200337
  epoch 8 batch 1000/1071 loss=0.200464
  epoch 8 batch 1050/1071 loss=0.200286
Epoch 8 | train_loss=0.200357 val_mse=0.552508 val_mae=0.497882 (12.3s)
  EarlyStopping: 7/10
  epoch 9 batch 50/1071 loss=0.195135
  epoch 9 batch 100/1071 loss=0.197156
  epoch 9 batch 150/1071 loss=0.197769
  epoch 9 batch 200/1071 loss=0.197094
  epoch 9 batch 250/1071 loss=0.197046
  epoch 9 batch 300/1071 loss=0.197569
  epoch 9 batch 350/1071 loss=0.197273
  epoch 9 batch 400/1071 loss=0.197245
  epoch 9 batch 450/1071 loss=0.197143
  epoch 9 batch 500/1071 loss=0.196794
  epoch 9 batch 550/1071 loss=0.196638
  epoch 9 batch 600/1071 loss=0.196621
  epoch 9 batch 650/1071 loss=0.196652
  epoch 9 batch 700/1071 loss=0.196958
  epoch 9 batch 750/1071 loss=0.196787
  epoch 9 batch 800/1071 loss=0.196740
  epoch 9 batch 850/1071 loss=0.196701
  epoch 9 batch 900/1071 loss=0.196446
  epoch 9 batch 950/1071 loss=0.196326
  epoch 9 batch 1000/1071 loss=0.196288
  epoch 9 batch 1050/1071 loss=0.196166
Epoch 9 | train_loss=0.196091 val_mse=0.552514 val_mae=0.492625 (12.8s)
  EarlyStopping: 8/10
  epoch 10 batch 50/1071 loss=0.191712
  epoch 10 batch 100/1071 loss=0.190144
  epoch 10 batch 150/1071 loss=0.190346
  epoch 10 batch 200/1071 loss=0.190199
  epoch 10 batch 250/1071 loss=0.190764
  epoch 10 batch 300/1071 loss=0.191104
  epoch 10 batch 350/1071 loss=0.191441
  epoch 10 batch 400/1071 loss=0.191224
  epoch 10 batch 450/1071 loss=0.191241
  epoch 10 batch 500/1071 loss=0.191264
  epoch 10 batch 550/1071 loss=0.191115
  epoch 10 batch 600/1071 loss=0.191366
  epoch 10 batch 650/1071 loss=0.192021
  epoch 10 batch 700/1071 loss=0.192186
  epoch 10 batch 750/1071 loss=0.192072
  epoch 10 batch 800/1071 loss=0.192146
  epoch 10 batch 850/1071 loss=0.192409
  epoch 10 batch 900/1071 loss=0.192932
  epoch 10 batch 950/1071 loss=0.192762
  epoch 10 batch 1000/1071 loss=0.192483
  epoch 10 batch 1050/1071 loss=0.192771
Epoch 10 | train_loss=0.192827 val_mse=0.551116 val_mae=0.492779 (14.3s)
  EarlyStopping: 9/10
  epoch 11 batch 50/1071 loss=0.190443
  epoch 11 batch 100/1071 loss=0.188116
  epoch 11 batch 150/1071 loss=0.187680
  epoch 11 batch 200/1071 loss=0.188882
  epoch 11 batch 250/1071 loss=0.189390
  epoch 11 batch 300/1071 loss=0.189853
  epoch 11 batch 350/1071 loss=0.190126
  epoch 11 batch 400/1071 loss=0.189937
  epoch 11 batch 450/1071 loss=0.189878
  epoch 11 batch 500/1071 loss=0.190245
  epoch 11 batch 550/1071 loss=0.190649
  epoch 11 batch 600/1071 loss=0.190016
  epoch 11 batch 650/1071 loss=0.189755
  epoch 11 batch 700/1071 loss=0.190076
  epoch 11 batch 750/1071 loss=0.190017
  epoch 11 batch 800/1071 loss=0.189860
  epoch 11 batch 850/1071 loss=0.189805
  epoch 11 batch 900/1071 loss=0.189863
  epoch 11 batch 950/1071 loss=0.189653
  epoch 11 batch 1000/1071 loss=0.189540
  epoch 11 batch 1050/1071 loss=0.189600
Epoch 11 | train_loss=0.189651 val_mse=0.552184 val_mae=0.491712 (14.0s)
  EarlyStopping: 10/10
Early stopping at epoch 11.

Test | mse=0.390079 mae=0.406174 rmse=0.624563
